transaction_id,serial_number,registry,project_type,vintage_year,quantity,unit,gas_type,status,retirement_date,claimed_by,claim_year,claim_id
T000000,VCS-02824-2021-00000001,Verra,REDD+ (VM0048),2021,557.35,tCO2e,CO2,retired,2024-10-06,Aria Logistics Group,2024,CLAIM-2024-7912
T000001,VCS-01520-2021-00000002,Verra,REDD+ (VM0048),2021,181.35,tCO2e,CO2,retired,2024-04-11,Solace Apparel Holdings,2024,CLAIM-2024-4611
T000002,GS-08359-2018-00000001,Gold Standard,Direct Air Capture,2018,1734.24,tCO2e,CO2,retired,2024-03-20,Cobalt Ridge Manufacturing,2024,CLAIM-2024-6514
T000003,VCS-02674-2019-00000003,Verra,REDD+ (VM0048),2019,3038.44,tCO2e,CO2,retired,2025-01-23,Tidewater Shipping Corp.,2025,CLAIM-2025-9785
T000004,ACR-03045-2022-00000001,ACR,Improved Forest Management,2022,3537.63,tCO2e,CO2,retired,2025-01-24,Cobalt Ridge Manufacturing,2025,CLAIM-2025-5741
T000005,GS-02307-2019-00000002,Gold Standard,Cookstove Distribution,2019,3196.64,tCO2e,CO2,retired,2026-07-06,Brightline Materials Co.,2026,CLAIM-2026-7065
T000006,VCS-06820-2019-00000004,Verra,Afforestation/Reforestation (VM0047),2019,1261.81,tCO2e,CO2,retired,2024-08-24,Solace Apparel Holdings,2024,CLAIM-2024-5422
T000007,PURO-04598-2018-00000001,Puro.earth,Biochar,2018,4034.98,tCO2e,CO2,retired,2024-07-24,Verdant Grain Cooperative,2024,CLAIM-2024-2084
T000008,GS-04456-2021-00000003,Gold Standard,Direct Air Capture,2021,4577.01,tCO2e,CO2,retired,2026-08-23,Brightline Materials Co.,2026,CLAIM-2026-5339
T000009,VCS-03287-2024-00000005,Verra,Afforestation/Reforestation (VM0047),2024,1135.64,tCO2e,CO2,retired,2026-03-12,Tidewater Shipping Corp.,2026,CLAIM-2026-2489
T000010,GS-01771-2020-00000004,Gold Standard,Cookstove Distribution,2020,2139.69,tCO2e,CO2,retired,2024-02-02,Solace Apparel Holdings,2024,CLAIM-2024-7252
T000011,GS-08668-2018-00000005,Gold Standard,Direct Air Capture,2018,2708.0,tCO2e,CO2,retired,2023-05-17,Halsey Industrial Partners,2023,CLAIM-2023-2827
T000012,ACR-05808-2025-00000002,ACR,Improved Forest Management,2025,4385.47,tCO2e,N2O,retired,2025-05-15,Brightline Materials Co.,2025,CLAIM-2025-9317
T000013,VCS-02743-2021-00000006,Verra,Cookstove Distribution,2021,849.67,tCO2e,CO2,retired,2024-09-28,Northwind Foods Inc.,2024,CLAIM-2024-6310
T000014,VCS-09005-2023-00000007,Verra,REDD+ (VM0048),2023,1242.31,tCO2e,CO2,retired,2025-10-18,Aria Logistics Group,2025,CLAIM-2025-2403
T000015,GS-08962-2020-00000006,Gold Standard,Cookstove Distribution,2020,4736.9,tCO2e,CO2,retired,2024-03-25,Verdant Grain Cooperative,2024,CLAIM-2024-9645
T000016,VCS-07932-2022-00000008,Verra,Afforestation/Reforestation (VM0047),2022,3266.9,tCO2e,N2O,retired,2026-08-13,Tidewater Shipping Corp.,2026,CLAIM-2026-2982
T000017,VCS-05061-2023-00000009,Verra,Afforestation/Reforestation (VM0047),2023,1189.07,tCO2e,CO2,retired,2023-04-23,Northwind Foods Inc.,2023,CLAIM-2023-2163
T000018,VCS-01964-2018-00000010,Verra,Afforestation/Reforestation (VM0047),2018,1228.12,tCO2e,CO2,retired,2025-12-09,Tidewater Shipping Corp.,2025,CLAIM-2025-4510
T000019,VCS-09834-2021-00000011,Verra,Afforestation/Reforestation (VM0047),2021,992.53,tCO2e,CO2,retired,2026-02-19,Solace Apparel Holdings,2026,CLAIM-2026-6804
T000020,CAR-07939-2018-00000001,CAR,Improved Forest Management,2018,3654.66,tCO2e,CO2,retired,2023-02-25,Cobalt Ridge Manufacturing,2023,CLAIM-2023-4139
T000021,GS-04116-2020-00000007,Gold Standard,Direct Air Capture,2020,2340.01,tCO2e,CO2,retired,2026-02-08,Tidewater Shipping Corp.,2026,CLAIM-2026-2604
T000022,PURO-01828-2019-00000002,Puro.earth,Biochar,2019,2453.92,tCO2e,CO2,retired,2024-04-19,Solace Apparel Holdings,2024,CLAIM-2024-1960
T000023,ACR-03697-2024-00000003,ACR,Improved Forest Management,2024,3936.39,tCO2e,CH4,retired,2025-05-27,Solace Apparel Holdings,2025,CLAIM-2025-8973
T000024,VCS-03536-2021-00000012,Verra,Afforestation/Reforestation (VM0047),2021,2733.87,tCO2e,CO2,retired,2023-06-10,Northwind Foods Inc.,2023,CLAIM-2023-1821
T000025,PURO-08811-2018-00000003,Puro.earth,Direct Air Capture,2018,389.18,tCO2e,CH4,retired,2023-02-04,Cobalt Ridge Manufacturing,2023,CLAIM-2023-7615
T000026,PURO-02964-2018-00000004,Puro.earth,Direct Air Capture,2018,2939.18,tCO2e,CO2,retired,2023-09-25,Halsey Industrial Partners,2023,CLAIM-2023-5272
T000027,PURO-04346-2021-00000005,Puro.earth,Biochar,2021,3374.87,tCO2e,CO2,retired,2025-06-03,Tidewater Shipping Corp.,2025,CLAIM-2025-6180
T000028,VCS-02188-2019-00000013,Verra,REDD+ (VM0048),2019,2554.13,tCO2e,CO2,retired,2023-03-09,Halsey Industrial Partners,2023,CLAIM-2023-2127
T000029,ACR-05002-2020-00000004,ACR,Landfill Methane Capture,2020,3532.52,tCO2e,CO2,retired,2026-11-10,Northwind Foods Inc.,2026,CLAIM-2026-5905
T000030,VCS-02697-2019-00000014,Verra,Afforestation/Reforestation (VM0047),2019,819.47,tCO2e,CO2,retired,2023-05-25,Cobalt Ridge Manufacturing,2017,CLAIM-2023-6617
T000031,PURO-04335-2025-00000006,Puro.earth,Biochar,2025,4238.21,tCO2e,CH4,retired,2026-02-17,Solace Apparel Holdings,2026,CLAIM-2026-5533
T000032,VCS-01722-2020-00000015,Verra,REDD+ (VM0048),2020,2237.09,tCO2e,CO2,retired,2025-12-28,Solace Apparel Holdings,2025,CLAIM-2025-1158
T000033,VCS-02832-2018-00000016,Verra,REDD+ (VM0048),2018,783.06,tCO2e,CO2,retired,2025-03-07,Northwind Foods Inc.,2025,CLAIM-2025-6050
T000034,GS-06974-2023-00000008,Gold Standard,Cookstove Distribution,2023,3351.32,tCO2e,CO2,retired,2024-06-30,Solace Apparel Holdings,2024,CLAIM-2024-3532
T000035,GS-04878-2020-00000009,Gold Standard,Cookstove Distribution,2020,3695.99,tCO2e,CO2,retired,2026-06-20,Solace Apparel Holdings,2026,CLAIM-2026-5065
T000036,VCS-05371-2024-00000017,Verra,Afforestation/Reforestation (VM0047),2024,1151.05,tCO2e,CH4,retired,2024-08-23,Halsey Industrial Partners,2024,CLAIM-2024-6000
T000037,VCS-04728-2021-00000018,Verra,Afforestation/Reforestation (VM0047),2021,4328.55,tCO2e,CO2,retired,2026-05-23,Halsey Industrial Partners,2026,CLAIM-2026-9346
T000038,PURO-07548-2018-00000007,Puro.earth,Biochar,2018,1343.02,tCO2e,CH4,retired,2023-10-25,Verdant Grain Cooperative,2023,CLAIM-2023-1626
T000039,GS-02776-2023-00000010,Gold Standard,Direct Air Capture,2023,4921.97,tCO2e,CO2,retired,2025-03-01,Solace Apparel Holdings,2025,CLAIM-2025-4114
T000040,VCS-05173-2018-00000019,Verra,REDD+ (VM0048),2018,396.37,tCO2e,CO2,retired,2024-12-06,Halsey Industrial Partners,2024,CLAIM-2024-6143
T000041,PURO-03041-2022-00000008,Puro.earth,Biochar,2022,3501.18,tCO2e,CO2,retired,2026-10-11,Brightline Materials Co.,2026,CLAIM-2026-4143
T000042,PURO-07888-2020-00000009,Puro.earth,Biochar,2020,4176.94,tCO2e,CO2,retired,2025-06-05,Verdant Grain Cooperative,2025,CLAIM-2025-4443
T000043,VCS-08043-2025-00000020,Verra,Cookstove Distribution,2025,1107.82,tCO2e,CO2,retired,2026-08-31,Brightline Materials Co.,2026,CLAIM-2026-2389
T000044,GS-05649-2019-00000011,Gold Standard,Direct Air Capture,2019,1161.97,tCO2e,CO2,retired,2024-04-11,Brightline Materials Co.,2024,CLAIM-2024-1400
T000045,VCS-01757-2019-00000021,Verra,Afforestation/Reforestation (VM0047),2019,3167.34,tCO2e,CO2,retired,2026-04-10,Solace Apparel Holdings,2026,CLAIM-2026-9099
T000046,VCS-07547-2018-00000022,Verra,Afforestation/Reforestation (VM0047),2018,1133.26,tCO2e,CO2,retired,2023-12-23,Tidewater Shipping Corp.,2023,CLAIM-2023-1822
T000047,GS-05082-2025-00000012,Gold Standard,Cookstove Distribution,2025,3354.51,tCO2e,CO2,retired,2025-10-14,Halsey Industrial Partners,2025,CLAIM-2025-8251
T000048,VCS-09270-2025-00000023,Verra,Improved Forest Management,2025,2399.64,tCO2e,CO2,retired,2025-05-13,Cobalt Ridge Manufacturing,2025,CLAIM-2025-5543
T000049,VCS-09540-2021-00000024,Verra,Improved Forest Management,2021,3582.05,tCO2e,CO2,retired,2025-05-01,Verdant Grain Cooperative,2025,CLAIM-2025-6502
T000050,PURO-06238-2020-00000010,Puro.earth,Direct Air Capture,2020,3485.05,tCO2e,CO2,retired,2024-12-27,Cobalt Ridge Manufacturing,2024,CLAIM-2024-2052
T000051,CAR-07797-2025-00000002,CAR,Improved Forest Management,2025,4172.81,tCO2e,CO2,retired,2026-07-19,Northwind Foods Inc.,2026,CLAIM-2026-7232
T000052,VCS-08814-2022-00000025,Verra,REDD+ (VM0048),2022,4769.48,tCO2e,CH4,retired,2026-08-03,Cobalt Ridge Manufacturing,2026,CLAIM-2026-8999
T000053,ACR-04595-2025-00000005,ACR,Landfill Methane Capture,2025,3360.92,tCO2e,CO2,retired,2025-07-27,Brightline Materials Co.,2025,CLAIM-2025-8657
T000054,PURO-03091-2024-00000011,Puro.earth,Direct Air Capture,2024,184.16,tCO2e,CO2,retired,2026-11-26,Solace Apparel Holdings,2026,CLAIM-2026-3223
T000055,VCS-08564-2022-00000026,Verra,Afforestation/Reforestation (VM0047),2022,2300.76,tCO2,CH4,retired,2026-06-22,Solace Apparel Holdings,2026,CLAIM-2026-5558
